Sample #	Date Collected	Location	Trap Type	Species	Common Name	Temperature (°C)	Humidity (%)
1	2025-05-31	Near carrion (bird)	Lidded bait trap	Fannia sp.		22	43
2	2025-05-31	Near carrion (bird)	Lidded bait trap	Protophormia terraenovae	Blue-bottle fly	22	43
3	2025-05-31	Near carrion (bird)	Lidded bait trap	Hydrotaea sp.		22	43
4	2025-05-31	Near carrion (bird)	Lidded bait trap	Pollenia sp.		22	43
5	2025-05-31	Near carrion (bird)	Lidded bait trap	Lucilia sericata	Common green bottle fly	22	43
6	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
7	2025-05-31	Near dumpsters	Baited net trap	Phormia regina	Black blow fly	22	43
8	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
9	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
10	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
11	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
12	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
13	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
14	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
15	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
16	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
17	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
18	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
19	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
20	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
21	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
22	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
23	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
24	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
25	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
26	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
27	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
28	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
29	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
30	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
31	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
32	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
33	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
34	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
35	2025-05-31	Near dumpsters	Baited net trap	Phormia regina	Black blow fly	22	43
36	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
37	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
38	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
39	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
40	2025-05-31	Near dumpsters	Baited net trap	Phormia regina	Black blow fly	22	43
41	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
42	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
43	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
44	2025-05-31	Near dumpsters	Baited net trap	Phormia regina	Black blow fly	22	43
45	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
46	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
47	2025-05-31	Near dumpsters	Baited net trap	Lucilia sericata	Common green bottle fly	22	43
48	2025-05-31	Near dumpsters	Baited net trap	Calliphora vicina	Blue blow fly	22	43
